*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,C:Brand,C:Model,C:MPN,C:California Prop 65 Warning,C:Country of Origin,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,GS,52533,,"Pharmacy Bags - GS Design - #25 (6"" x 4"" x 11"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp,,,"Pharmacy Bags - GS Design - #25 (6"" x 4"" x 11"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: GS<br/>""<br/>""Size: 6"" x 4"" x 11""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,75.80,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,GS,52533,,"Pharmacy Bags - GS Design - #14 (9"" x 11"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp,,,"Pharmacy Bags - GS Design - #14 (9"" x 11"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: GS<br/>""<br/>""Size: 9"" x 11""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,114.64,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,GS,52533,,"Pharmacy Bags - GS Design - #15 (8.5"" x 3.5"" x 14.5"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp,,,"Pharmacy Bags - GS Design - #15 (8.5"" x 3.5"" x 14.5"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: GS<br/>""<br/>""Size: 8.5"" x 3.5"" x 14.5""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,110.15,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,TY,52533,,"Pharmacy Bags - TY Design - #22 (4.5"" x 2.25"" x 11"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp,,,"Pharmacy Bags - TY Design - #22 (4.5"" x 2.25"" x 11"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: Thank You<br/>""<br/>""Size: 4.5"" x 2.25"" x 11""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,137.78,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,TY,52533,,"Pharmacy Bags - TY Design - #23 (5"" x 2"" x 10"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp,,,"Pharmacy Bags - TY Design - #23 (5"" x 2"" x 10"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: Thank You<br/>""<br/>""Size: 5"" x 2"" x 10""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,135.02,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,TY,52533,,"Pharmacy Bags - TY Design - #25 (6"" x 4"" x 11"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp,,,"Pharmacy Bags - TY Design - #25 (6"" x 4"" x 11"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: Thank You<br/>""<br/>""Size: 6"" x 4"" x 11""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,75.80,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,TY,52533,,"Pharmacy Bags - TY Design - #26 (7"" x 4"" x 14"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp,,,"Pharmacy Bags - TY Design - #26 (7"" x 4"" x 14"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: Thank You<br/>""<br/>""Size: 7"" x 4"" x 14""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,117.63,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,TY,52533,,"Pharmacy Bags - TY Design - #28 (8"" x 5"" x 17"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp,,,"Pharmacy Bags - TY Design - #28 (8"" x 5"" x 17"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: Thank You<br/>""<br/>""Size: 8"" x 5"" x 17""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,128.91,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,TY,52533,,"Pharmacy Bags - TY Design - #12 (7"" x 10"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp,,,"Pharmacy Bags - TY Design - #12 (7"" x 10"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: Thank You<br/>""<br/>""Size: 7"" x 10""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,132.65,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,TY,52533,,"Pharmacy Bags - TY Design - #14 (9"" x 11"")",,,,,1000,bagsupplyco,,,,United States,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp,,,"Pharmacy Bags - TY Design - #14 (9"" x 11"")<br/>""<br/>""High-quality pharmacy prescription bags featuring the classic design. Strong, dependable paper bags built for everyday pharmacy and retail use.<br/>""<br/>""📦 Product Details<br/>""<br/>""Design: Thank You<br/>""<br/>""Size: 9"" x 11""<br/>""<br/>""Quantity: 1<br/>""<br/>""Material: Durable paper<br/>""<br/>""Condition: Brand new<br/>""<br/>""Country of Manufacture: Made in the USA 🇺🇸<br/>""<br/>""🚚 Shipping<br/>""<br/>""Flat $10 shipping per case.<br/>""<br/>""Orders ship within 2 business days — most ship same or next business day.<br/>""<br/>""💼 Better Pricing Available<br/>""<br/>""Contact bagsupplyco directly for a cheaper rate — even if you are ordering just one case.<br/>""<br/>""✔ Sold as a full case only<br/>""<br/>""✔ Reliable supply for pharmacies and medical offices<br/>""<br/>""Please message with any questions.",FixedPrice,GTC,114.64,,,,,1,,United States,Flat,USPSPriority,10.00,,,2,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,
