product_key,notes,cost,quantity,image_url
"Pharmacy Bags - GS Design - #21 (3.5"" x 1.5"" x 10"")","SKU GS; size #21 (3.5"" x 1.5"" x 10""); 3,000 per case",95.56,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #22 (4.5"" x 2.25"" x 11"")","SKU GS; size #22 (4.5"" x 2.25"" x 11""); 3,000 per case",119.81,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #23 (5"" x 2"" x 10"")","SKU GS; size #23 (5"" x 2"" x 10""); 3,000 per case",117.42,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #25 (6"" x 4"" x 11"")","SKU GS; size #25 (6"" x 4"" x 11""); 1,000 per case",65.91,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #26 (7"" x 4"" x 14"")","SKU GS; size #26 (7"" x 4"" x 14""); 1,000 per case",102.29,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #28 (8"" x 5"" x 17"")","SKU GS; size #28 (8"" x 5"" x 17""); 500 per case",112.10,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #12 (7"" x 10"")","SKU GS; size #12 (7"" x 10""); 3,000 per case",115.35,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #14 (9"" x 11"")","SKU GS; size #14 (9"" x 11""); 2,000 per case",99.69,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - GS Design - #15 (8.5"" x 3.5"" x 14.5"")","SKU GS; size #15 (8.5"" x 3.5"" x 14.5""); 1,000 per case",95.78,1,https://www.bagsupplyco.com/catalog/pharmacy/gs/GS-22-FRONT.webp
"Pharmacy Bags - Plastic GS Design - #32 (9"" x 5.5"" x 18"")","SKU PFCGSP; size #32 (9"" x 5.5"" x 18""); 1,000 per case",70.84,1,https://www.bagsupplyco.com/catalog/pharmacy/plastic-gs/32-GSP-FRONT.webp
"Pharmacy Bags - Plastic GS Design - #35 (12"" x 7"" x 23"")","SKU PFCGSP; size #35 (12"" x 7"" x 23""); 1,000 per case",90.84,1,https://www.bagsupplyco.com/catalog/pharmacy/plastic-gs/32-GSP-FRONT.webp
"Pharmacy Bags - Plastic GS Design - #30 (12"" x 7"" x 25"")","SKU PFCGSP; size #30 (12"" x 7"" x 25""); 500 per case",116.03,1,https://www.bagsupplyco.com/catalog/pharmacy/plastic-gs/32-GSP-FRONT.webp
"Pharmacy Bags - TY Design - #21 (3.5"" x 1.5"" x 10"")","SKU TY; size #21 (3.5"" x 1.5"" x 10""); 3,000 per case",95.56,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #22 (4.5"" x 2.25"" x 11"")","SKU TY; size #22 (4.5"" x 2.25"" x 11""); 3,000 per case",119.81,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #23 (5"" x 2"" x 10"")","SKU TY; size #23 (5"" x 2"" x 10""); 3,000 per case",117.41,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #25 (6"" x 4"" x 11"")","SKU TY; size #25 (6"" x 4"" x 11""); 1,000 per case",65.91,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #26 (7"" x 4"" x 14"")","SKU TY; size #26 (7"" x 4"" x 14""); 1,000 per case",102.29,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #28 (8"" x 5"" x 17"")","SKU TY; size #28 (8"" x 5"" x 17""); 500 per case",112.10,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #12 (7"" x 10"")","SKU TY; size #12 (7"" x 10""); 3,000 per case",115.35,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #14 (9"" x 11"")","SKU TY; size #14 (9"" x 11""); 2,000 per case",99.69,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Pharmacy Bags - TY Design - #15 (8.5"" x 3.5"" x 14.5"")","SKU TY; size #15 (8.5"" x 3.5"" x 14.5""); 1,000 per case",95.78,1,https://www.bagsupplyco.com/catalog/pharmacy/ty/TY-22-FRONT.webp
"Veterinary Bag Design #VB1 - Pinch bottom #22 (4.5"" x 2.25"" x 11"")","SKU VB1; size Pinch bottom #22 (4.5"" x 2.25"" x 11""); 3,000 per case",119.81,1,https://www.bagsupplyco.com/catalog/veterinary/vb1/VB1-22-FRONT.webp
"Veterinary Bag Design #VB1 - Flat bag #12 (7"" x 10"")","SKU VB1; size Flat bag #12 (7"" x 10""); 3,000 per case",115.35,1,https://www.bagsupplyco.com/catalog/veterinary/vb1/VB1-22-FRONT.webp
"Veterinary Bag Design #VB1 - Square bottom #25 (6"" x 4"" x 11"")","SKU VB1; size Square bottom #25 (6"" x 4"" x 11""); 1,000 per case",65.91,1,https://www.bagsupplyco.com/catalog/veterinary/vb1/VB1-22-FRONT.webp
"Veterinary Bag Design #VB2 - Pinch bottom #22 (4.5"" x 2.25"" x 11"")","SKU VB2; size Pinch bottom #22 (4.5"" x 2.25"" x 11""); 3,000 per case",119.81,1,https://www.bagsupplyco.com/catalog/veterinary/vb2/VB2-22-FRONT.webp
"Veterinary Bag Design #VB2 - Flat bag #12 (7"" x 10"")","SKU VB2; size Flat bag #12 (7"" x 10""); 3,000 per case",115.35,1,https://www.bagsupplyco.com/catalog/veterinary/vb2/VB2-22-FRONT.webp
"Veterinary Bag Design #VB2 - Square bottom #25 (6"" x 4"" x 11"")","SKU VB2; size Square bottom #25 (6"" x 4"" x 11""); 1,000 per case",65.91,1,https://www.bagsupplyco.com/catalog/veterinary/vb2/VB2-22-FRONT.webp
